dataset,missing_pattern,missing_pattern_label,missing_ratio,algorithm,algorithm_label,avg_f1_score,std_f1_score,avg_ranking_loss,std_ranking_loss,avg_coverage,std_coverage,avg_hamming_loss,std_hamming_loss,avg_reduction_rate,std_reduction_rate,avg_pure_reduction_time,avg_configured_reduction_time,avg_full_training_time,dominant_imputer
birds,mcar,MCAR,0.1,mcb-ar,MCB-AR,0.32499999552965164,0.17677668475992475,0.5353689611042552,0.09786346216792019,9.136363636363637,1.221366258413127,0.10402097902097904,0.0378277403921475,99.61538461538461,0.0,0.017780333499104017,0.017780333499104017,0.017780333499104017,native
birds,by_object,Object-wise,0.1,mcb-ar,MCB-AR,0.3999999910593033,0.0707106739039699,0.554378056583939,0.019289578241747395,8.423076923076923,0.5983211225424637,0.09248251748251748,0.021509891595534833,100.0,0.0,0.003164457999446313,0.003164457999446313,0.003164457999446313,native
birds,by_attribute,Attribute-wise,0.1,mcb-ar,MCB-AR,0.3999999910593033,0.0707106739039699,0.5254696284108049,0.04148140013953717,8.748251748251748,0.02966881599384219,0.09248251748251748,0.021509891595534833,99.61538461538461,0.0,0.005955520499810518,0.005955520499810518,0.005955520499810518,native
birds,blockwise,Blockwise,0.1,mcb-ar,MCB-AR,0.3999999910593033,0.0707106739039699,0.5254696284108049,0.04148140013953717,8.748251748251748,0.02966881599384219,0.09248251748251748,0.021509891595534833,99.61538461538461,0.0,0.006236146000446752,0.006236146000446752,0.006236146000446752,native
scene,mcar,MCAR,0.1,mcb-ar,MCB-AR,0.0416666679084301,0.011785112317328317,0.5225,0.1308147545195113,2.65,0.7071067811865476,0.20416666666666664,0.041247895569215286,99.65986394557824,0.0,0.01772704149971105,0.01772704149971105,0.01772704149971105,native
scene,by_object,Object-wise,0.1,mcb-ar,MCB-AR,0.0,0.0,0.6074999999999999,0.03889087296526007,2.7249999999999996,0.2474873734152917,0.17083333333333328,0.005892556509887895,100.0,0.0,0.0034216045005450724,0.0034216045005450724,0.0034216045005450724,native
scene,by_attribute,Attribute-wise,0.1,mcb-ar,MCB-AR,0.09166667051613331,0.08249579412383232,0.5425,0.031819805153394665,2.725,0.1767766952966369,0.1958333333333333,0.005892556509887895,99.65986394557824,0.0,0.007693583499531087,0.007693583499531087,0.007693583499531087,native
scene,blockwise,Blockwise,0.1,mcb-ar,MCB-AR,0.09166667051613331,0.08249579412383232,0.5425,0.031819805153394665,2.725,0.1767766952966369,0.1958333333333333,0.005892556509887895,99.65986394557824,0.0,0.007024937500318629,0.007024937500318629,0.007024937500318629,native
yeast,mcar,MCAR,0.1,mcb-ar,MCB-AR,0.46617648005485535,0.01444258701977359,0.3053204880437024,0.037969181650935206,8.8,1.2020815280171309,0.35961538461538467,0.008158924398306249,99.02912621359224,0.0,0.004605061999427562,0.004605061999427562,0.004605061999427562,native
yeast,by_object,Object-wise,0.1,mcb-ar,MCB-AR,0.4594588577747345,0.05075251848039391,0.2675872242836529,0.026443439509076162,8.075,0.10606601717798238,0.30576923076923074,0.03535533905932733,100.0,0.0,0.001956562001396378,0.001956562001396378,0.001956562001396378,native
yeast,by_attribute,Attribute-wise,0.1,mcb-ar,MCB-AR,0.5090138018131256,0.026214960452139488,0.3046968408575551,0.0541756252208249,8.825,0.6717514421272209,0.33076923076923087,0.02175713172881685,99.02912621359224,0.0,0.003719437499967171,0.003719437499967171,0.003719437499967171,native
yeast,blockwise,Blockwise,0.1,mcb-ar,MCB-AR,0.5090138018131256,0.026214960452139488,0.3046968408575551,0.0541756252208249,8.825,0.6717514421272209,0.33076923076923087,0.02175713172881685,99.02912621359224,0.0,0.0025127710005108383,0.0025127710005108383,0.0025127710005108383,native
